,Player,Team,Position,Minutes Played,Aerial Duels Attempted,Defensive Duels Attempted,Touches in Penalty Area,Offsides,Progressive Runs,Fouls Drawn,Goals,Assists,Shots,Shots on Target,Ball Recoveries,Losses of Possession,Interceptions,Red Cards,Yellow Cards,Fouls Committed,Total Passes Attempted,Long Passes Attempted,Forward Passes,Passes into Final Third,Passes into Penalty Area,Passes Received,Crosses Attempted,Accurate Crosses,Shot Assists,ps
831,Francis Coquelin,Villarreal,MF,830.0,3.26,3.04,3.04,0.0,4.89,2.28,0.22,0.11,0.54,0.22,8.7,2.17,1.74,0.0,0.33,2.39,52.2,5.87,4.78,4.67,1.2,47.1,0.22,0.0,1.09,0
832,Francisco Garcia,Rayo Vallecano,DF,3025.0,2.2,1.7,0.98,0.06,7.5,0.54,0.03,0.0,0.74,0.24,8.33,0.65,2.11,0.0,0.12,0.83,50.4,8.13,3.3,2.83,1.07,32.5,2.95,0.65,0.83,0
833,Francisco Sierralta,Watford,DF,427.0,4.68,1.28,0.43,0.0,0.21,0.43,0.0,0.0,0.21,0.21,7.02,0.21,2.98,0.0,0.0,1.06,36.0,11.5,0.64,0.64,0.0,27.9,0.0,0.0,0.0,0
834,Francisco Trincão,Wolves,FWMF,1336.0,1.6900000000000002,1.96,3.38,0.07,5.47,1.55,0.14,0.07,2.09,0.88,6.42,1.69,1.01,0.0,0.0,1.08,30.9,4.26,2.16,1.82,0.88,32.6,1.62,0.34,1.01,0
835,Franck Honorat,Brest,MFFW,2899.0,1.96,1.86,3.73,0.16,5.96,0.71,0.34,0.12,1.89,0.93,5.75,1.3,1.02,0.0,0.09,0.81,38.0,6.99,2.76,1.18,1.49,33.6,3.91,0.68,2.02,0
836,Franck Kessié,Milan,MF,2308.0,2.7800000000000002,2.03,2.27,0.04,3.75,1.37,0.23,0.0,1.25,0.31,9.61,1.21,1.88,0.0,0.08,1.48,51.9,7.3,4.02,3.59,0.7,43.7,0.39,0.16,0.98,0
837,Franck Ribéry,Salernitana,MFFW,1421.0,1.33,1.08,4.37,0.13,7.34,2.78,0.0,0.13,0.82,0.13,7.15,3.92,0.82,0.06,0.19,2.03,42.1,5.95,3.86,2.85,1.46,41.8,1.52,0.13,2.09,0
838,Franco Cervi,Celta Vigo,MF,1801.0,2.9,3.5,2.8,0.1,4.35,2.35,0.2,0.15,1.15,0.4,8.9,1.15,2.0,0.0,0.25,1.2,38.1,4.7,2.35,1.45,0.9,30.8,1.9,0.35,0.6,0
839,Franco Russo,Mallorca,DF,1464.0,4.11,1.29,1.1,0.06,1.41,0.61,0.06,0.0,0.37,0.12,10.4,0.12,2.45,0.12,0.43,1.47,40.1,11.7,2.33,1.53,0.06,26.3,0.0,0.0,0.0,0
840,Frank Onyeka,Brentford,MF,1045.0,3.45,2.59,1.55,0.0,3.02,2.33,0.0,0.0,1.38,0.43,8.19,1.55,1.29,0.0,0.34,3.71,28.3,3.45,1.9,1.64,0.52,23.4,0.6,0.0,0.34,0
